Store_name,Category,Latitude,Longitude,City
Sundeep Medical Shop,pharmacy,12.9676134,77.6061839,Bengaluru
Model Medical Stores,pharmacy,12.9687933,77.6063684,Bengaluru
Green Apple,pharmacy,12.9814081,77.6012679,Bengaluru
Shree Guru Ganesh Pharma,pharmacy,12.9719937,77.635835,Bengaluru
The Homeo Centre,pharmacy,12.9729985,77.6357302,Bengaluru
SLV Sagar Pharma,pharmacy,12.9737814,77.6359277,Bengaluru
Fortis HealthWorld,pharmacy,12.9592405,77.6528797,Bengaluru
Green Apple,pharmacy,12.9683737,77.5948809,Bengaluru
Apollo Pharmacy,pharmacy,12.9810274,77.6366103,Bengaluru
,pharmacy,12.9567335,77.5513304,Bengaluru
Pavitra Medicals,pharmacy,12.9455735,77.5712921,Bengaluru
Basavangudi Medical Centre,pharmacy,12.9453043,77.5798656,Bengaluru
Universal Pharma,pharmacy,12.9988718,77.5498125,Bengaluru
Maruti Medicals and Genral Stores,pharmacy,13.0240798,77.6032686,Bengaluru
Mankind Medical and Cosmetics,pharmacy,13.025445,77.6036945,Bengaluru
Sakshi Medical And General Stores,pharmacy,13.0271281,77.6042299,Bengaluru
Mohite Medicals,pharmacy,13.0249104,77.6034717,Bengaluru
Kushal Medical Devices,pharmacy,13.0268576,77.6041118,Bengaluru
A.K Medicals,pharmacy,13.023763,77.6029395,Bengaluru
Anagha Pharma,pharmacy,13.0275425,77.6043333,Bengaluru
Rudra Medicals and General Store,pharmacy,13.025341,77.6036943,Bengaluru
Medplus,pharmacy,13.0270235,77.6041889,Bengaluru
Apollo Pharmacy,pharmacy,12.9916552,77.6638354,Bengaluru
Sri Krishna Medicals,pharmacy,13.0450933,77.5206074,Bengaluru
Pradhan Mantri Bharatiya Jan Aushadi Kendra,pharmacy,13.1053106,77.577008,Bengaluru
Sudarshan Medicals,pharmacy,12.9898833,77.5374156,Bengaluru
Krishna medicals,pharmacy,12.9489452,77.7082197,Bengaluru
Navkar medicals,pharmacy,12.9516961,77.7064343,Bengaluru
MedPlus,pharmacy,12.9131442,77.6792129,Bengaluru
Banashankari Medicals,pharmacy,12.9058599,77.6756805,Bengaluru
Trust Chemists & Druggists Ltd,pharmacy,12.9263384,77.6168571,Bengaluru
Krishna Medical & General Stores,pharmacy,12.9079549,77.6758087,Bengaluru
Life Line Medicals & General Stores,pharmacy,13.0083873,77.6961576,Bengaluru
navyashree medicals & general stores,pharmacy,12.9074727,77.6951371,Bengaluru
Dr. Suresh's Dia Care,pharmacy,12.9898377,77.5550568,Bengaluru
Amrutha Medicals,pharmacy,12.9861471,77.5598537,Bengaluru
Health Shopee by Manjushree Medicals,pharmacy,12.9988814,77.5552883,Bengaluru
Sri Srinivasa Medicals,pharmacy,13.0272204,77.593535,Bengaluru
Nandhi Medical And General Stores,pharmacy,12.9882463,77.5584271,Bengaluru
Siddaiah Multi Speciality Clinic And Lab,pharmacy,13.0023897,77.629504,Bengaluru
Indian Medicals,pharmacy,13.0197971,77.6782178,Bengaluru
Vishwas Medicals,pharmacy,12.931055,77.5418888,Bengaluru
Pavan Medicals,pharmacy,12.995301,77.6524627,Bengaluru
SRS Hitech Diagnostic Laboratory,pharmacy,12.8701786,77.6548332,Bengaluru
Clumax Diagnostic Center,pharmacy,12.9238866,77.6195995,Bengaluru
Keshava Medicals And General Stores,pharmacy,13.0057354,77.5763934,Bengaluru
Sri Ganesh Medicals And Surgicals,pharmacy,13.0081894,77.5638484,Bengaluru
Lahari Medicals,pharmacy,12.991518,77.6838598,Bengaluru
Mass pharma,pharmacy,12.9950766,77.6967056,Bengaluru
Deseeya Ayurvedic Pharmacy,pharmacy,12.9627947,77.6419191,Bengaluru
Shri Siddhanth Pharma,pharmacy,12.9702378,77.6356539,Bengaluru
NationWide Primary Healthcare Services,pharmacy,12.9929014,77.7027759,Bengaluru
Shiva Homoeo Medicals,pharmacy,13.0314172,77.6043283,Bengaluru
MedPlus,pharmacy,13.04937,77.5969095,Bengaluru
Mathru Homoeo Medical,pharmacy,12.9601016,77.7002857,Bengaluru
Sri Tulsi Medicals General Store,pharmacy,12.9587958,77.7026919,Bengaluru
Sri Lakshmi Pharma And General Store,pharmacy,12.948849,77.7078682,Bengaluru
MedPlus,pharmacy,12.9486405,77.7037644,Bengaluru
Trust Chemists & Druggists,pharmacy,12.9482486,77.7047648,Bengaluru
Greenhouse Pharma,pharmacy,12.9539548,77.6979312,Bengaluru
Vignesh Medicals,pharmacy,12.957136,77.7392761,Bengaluru
Lakshmi Medicals,pharmacy,12.956443,77.6964124,Bengaluru
Rajeshwari Pharma Shop,pharmacy,12.9556301,77.7222569,Bengaluru
Padma Medicals,pharmacy,12.9785445,77.640549,Bengaluru
Ram speciality clinic,pharmacy,12.9670599,77.7131214,Bengaluru
Patanjali Prakritika Bazaar Shop,pharmacy,12.949095,77.7078158,Bengaluru
Slv Medical Store,pharmacy,12.9487633,77.7078643,Bengaluru
Shree Vet Life Pharma,pharmacy,13.0277184,77.5860886,Bengaluru
OM Shakthi Medicals & General Stores,pharmacy,13.0291434,77.5579617,Bengaluru
Popular Medical And General,pharmacy,13.02454,77.5950447,Bengaluru
Medicure Pharma,pharmacy,12.9720229,77.6803767,Bengaluru
Trust Chemists Druggists,pharmacy,13.0237176,77.5928768,Bengaluru
Shriniwas Medicals,pharmacy,12.9257866,77.5861651,Bengaluru
Sudhir Medicals,pharmacy,12.9243163,77.5770288,Bengaluru
J S Homoeo House,pharmacy,12.982224,77.6029281,Bengaluru
V L Nathan & Co,pharmacy,12.9855813,77.6071086,Bengaluru
Nathans Vet Pharma Centre,pharmacy,12.9762816,77.5991019,Bengaluru
Mahaveer Ayur & Homoeo,pharmacy,12.9813318,77.6041058,Bengaluru
Patanjali Chikitsalayas,pharmacy,12.9308168,77.5739459,Bengaluru
Gururaja Pharmacy,pharmacy,12.9781121,77.5739587,Bengaluru
Balaji Vaidyasala,pharmacy,12.9813797,77.6029956,Bengaluru
T. K. Diagnostic Centre,pharmacy,12.9843238,77.5984752,Bengaluru
elbitdiagnostics,pharmacy,12.9833669,77.5966639,Bengaluru
Al Shifa Unani & Ayurvedic Dawa Khana,pharmacy,12.9873157,77.6059871,Bengaluru
Medinova,pharmacy,12.9816041,77.6011061,Bengaluru
Sundeep Medicals,pharmacy,12.9674206,77.6058454,Bengaluru
Hitesh Medicals & General Stor,pharmacy,12.9713618,77.6062443,Bengaluru
Bangalore Fetal Medicine Centre,pharmacy,12.9658632,77.5998808,Bengaluru
Sai Aruna Medicals,pharmacy,12.9643196,77.657532,Bengaluru
Sri Vidhya Medicals General Store,pharmacy,12.9679122,77.6517504,Bengaluru
,pharmacy,12.9633821,77.6568672,Bengaluru
Sri Sai Ram Medicals,pharmacy,12.9650762,77.6574876,Bengaluru
ISRO Dispensary,pharmacy,12.9661551,77.656368,Bengaluru
Devi Medical,pharmacy,12.964938,77.6572798,Bengaluru
Trust Pharmacy,pharmacy,12.9919478,77.5708501,Bengaluru
Pushyamee Medicals,pharmacy,13.0008545,77.5631699,Bengaluru
Gururaja Pharma,pharmacy,12.9858304,77.5708651,Bengaluru
Brindhavan pharma,pharmacy,12.9853462,77.5708101,Bengaluru
,pharmacy,13.0024248,77.571574,Bengaluru
Megha Medicals,pharmacy,13.0023294,77.5719173,Bengaluru
Sri Ganesh Medicals,pharmacy,13.0078415,77.5617719,Bengaluru
Nandhi Medicals,pharmacy,12.9883267,77.5549712,Bengaluru
Sri Venkateshwara Medical & General Store,pharmacy,12.9898567,77.5542305,Bengaluru
Amrutha Medicals,pharmacy,12.9862636,77.5575477,Bengaluru
Sri Ranga Medicals,pharmacy,13.014751,77.5490654,Bengaluru
Sri Lakshmi Venkateshwara Medicals,pharmacy,12.9886463,77.4880192,Bengaluru
Prasad Medicals,pharmacy,12.9906244,77.5633161,Bengaluru
Sri Ganesh Pharma,pharmacy,12.9559132,77.5561779,Bengaluru
Royal Medicals,pharmacy,13.013929,77.6389286,Bengaluru
Fair Deal Pharma (Medkart),pharmacy,12.9671955,77.5736828,Bengaluru
Omkar Medicals,pharmacy,12.870394,77.6559601,Bengaluru
Bharath Medicals,pharmacy,13.0082692,77.5441674,Bengaluru
Lions Airport City Medicals,pharmacy,12.9557846,77.7050853,Bengaluru
Sri Durga Medicals,pharmacy,13.0120076,77.629801,Bengaluru
Shakti Medicals & Generals,pharmacy,12.9383428,77.5598834,Bengaluru
MedPlus,pharmacy,12.9700147,77.7334952,Bengaluru
Apollo Pharmacy,pharmacy,12.9383175,77.5549076,Bengaluru
Central Lab,pharmacy,12.9644242,77.5968789,Bengaluru
