Store_name,Category,Latitude,Longitude,City
Safal Fresh,supermarket,12.9403442,77.6024598,Bengaluru
Ceekay,supermarket,12.9604494,77.636423,Bengaluru
Top In Town,supermarket,12.9564333,77.6379839,Bengaluru
SLV Stores,supermarket,12.9482932,77.6213652,Bengaluru
Food Basics,supermarket,12.9319665,77.6179178,Bengaluru
Namdhari Fresh,supermarket,13.0207547,77.5929974,Bengaluru
Family Food House,supermarket,12.8865458,77.6063814,Bengaluru
Ragam Mega Store,supermarket,12.9634063,77.7083686,Bengaluru
Royal Mart,supermarket,13.093793,77.5712363,Bengaluru
Reliance Smart Point,supermarket,12.893592,77.586205,Bengaluru
Kaveri Departmental Store,supermarket,12.9756859,77.6671061,Bengaluru
Reliance Fresh,supermarket,12.9366381,77.5752413,Bengaluru
Nilgiri's,supermarket,12.958969,77.6521143,Bengaluru
Nandini Milk Parlor,supermarket,12.9962854,77.6577102,Bengaluru
Shoba,supermarket,12.9571137,77.701818,Bengaluru
Star Bazar,supermarket,12.9760478,77.5319661,Bengaluru
Nisha Supermart,supermarket,13.0019536,77.6319019,Bengaluru
Reliance Fresh,supermarket,13.0014363,77.630759,Bengaluru
Nature's Basket,supermarket,12.9337036,77.6229616,Bengaluru
,supermarket,13.0813597,77.5839205,Bengaluru
More,supermarket,13.0247172,77.5483657,Bengaluru
Total,supermarket,12.958648,77.6567863,Bengaluru
Nature's Basket,supermarket,13.0056797,77.5806627,Bengaluru
Nilgiri's,supermarket,12.9792765,77.6431666,Bengaluru
Magizh Groceries,supermarket,12.87924,77.6383068,Bengaluru
Reliance Fresh,supermarket,12.9930245,77.6805764,Bengaluru
Sree Manjunatha Stores,supermarket,12.9750833,77.6517316,Bengaluru
More,supermarket,13.0579847,77.5919058,Bengaluru
The Big Market,supermarket,13.0623962,77.5930084,Bengaluru
Thilags Market,supermarket,12.9683842,77.6701118,Bengaluru
Hopcoms,supermarket,12.9188235,77.5203753,Bengaluru
Lake View Supermarket,supermarket,12.9875472,77.6189672,Bengaluru
Parimala,supermarket,12.9239069,77.5969076,Bengaluru
Maha Bazar,supermarket,13.0148535,77.6336331,Bengaluru
Star Bazar,supermarket,12.9553742,77.7124418,Bengaluru
Nilgiri Supermarket,supermarket,13.0025965,77.5981195,Bengaluru
More,supermarket,12.9589507,77.6569142,Bengaluru
Reliance Fresh,supermarket,13.0633532,77.5906518,Bengaluru
,supermarket,12.9570758,77.7023408,Bengaluru
Aishwarya Supermarket,supermarket,12.9083472,77.6446906,Bengaluru
Reliance Fresh,supermarket,12.9973946,77.5485023,Bengaluru
New Akshaya Mini Bazaar,supermarket,13.0016723,77.5506179,Bengaluru
Simply Organics,supermarket,12.9939186,77.5513274,Bengaluru
Reliance Smart Bazaar,supermarket,13.0122683,77.5534545,Bengaluru
Food World,supermarket,13.0214967,77.5924037,Bengaluru
More,supermarket,13.0194845,77.6782953,Bengaluru
Spar,supermarket,13.0454341,77.6267753,Bengaluru
Spar,supermarket,12.991691,77.5707302,Bengaluru
Capital Hypermar,supermarket,12.9489302,77.6883085,Bengaluru
Ideal Supermarket,supermarket,12.9443025,77.6525847,Bengaluru
BN Sreekantaiah and Sons,supermarket,12.9306322,77.5841581,Bengaluru
99 Grocer,supermarket,12.9481186,77.6796811,Bengaluru
SLN Super Market,supermarket,12.9114996,77.6241693,Bengaluru
Vishal Mega Mart,supermarket,12.8974942,77.5998505,Bengaluru
Hypercity Retail India Pvt Ltd,supermarket,12.8758755,77.5958084,Bengaluru
Yemkay Supermarket,supermarket,12.9417055,77.5560577,Bengaluru
Sweet Chariot,supermarket,12.984947,77.5540532,Bengaluru
Madeena Supermarket,supermarket,12.9948336,77.6107384,Bengaluru
More For You,supermarket,13.0352764,77.5536076,Bengaluru
Samarth Rice Traders,supermarket,13.015208,77.6561956,Bengaluru
Ahmeds Retail,supermarket,13.0235383,77.6090101,Bengaluru
New Kiran Super Bazar,supermarket,13.0435746,77.5532589,Bengaluru
Reliance Fresh,supermarket,12.9655735,77.7018297,Bengaluru
SLN Super Market,supermarket,13.0942914,77.5459382,Bengaluru
Ma Green Fresh,supermarket,12.9523974,77.6979565,Bengaluru
Food Mart Supermarket,supermarket,12.9558361,77.6930802,Bengaluru
More Hypermart,supermarket,12.9483065,77.6986195,Bengaluru
Shopping Day,supermarket,13.0273271,77.5782409,Bengaluru
Athulya Home Needs,supermarket,12.9487318,77.7035738,Bengaluru
Shoba supermarket,supermarket,12.9149937,77.6352099,Bengaluru
Gateway Super Bazaar,supermarket,12.9729164,77.7011884,Bengaluru
Food Mart Super Market,supermarket,13.004258,77.6135288,Bengaluru
City Super Bazaar,supermarket,12.9560845,77.7168358,Bengaluru
Fine Fare Departmental Store,supermarket,13.0257621,77.6277381,Bengaluru
Value Bazaar,supermarket,12.9672408,77.6827922,Bengaluru
Miami Supermarket,supermarket,12.9492413,77.7023924,Bengaluru
Varity Bazar,supermarket,12.9670978,77.6809662,Bengaluru
Relation Super Market,supermarket,12.9509399,77.7150958,Bengaluru
Namdharis Fresh,supermarket,12.9660726,77.6374507,Bengaluru
Plaza Supermarket,supermarket,12.9721261,77.6987222,Bengaluru
Home Magic Mini Bazar,supermarket,13.0160177,77.6844246,Bengaluru
Buy Right Super Store,supermarket,13.0118942,77.6985133,Bengaluru
I Mart,supermarket,13.039288,77.5537006,Bengaluru
Maataji Privision Store,supermarket,12.9677841,77.6634104,Bengaluru
Jeeshvi Supermarket,supermarket,12.9823096,77.7571638,Bengaluru
Reliance Fresh,supermarket,12.9164708,77.6047081,Bengaluru
The Big Market,supermarket,12.8977213,77.6209903,Bengaluru
Span Retail,supermarket,12.8925021,77.6116554,Bengaluru
Heritage Fresh,supermarket,12.9051928,77.6113706,Bengaluru
,supermarket,12.8684675,77.5755685,Bengaluru
Seven Days Supermarket,supermarket,13.0245541,77.6559134,Bengaluru
Spencers Supermarket,supermarket,12.9733443,77.6468191,Bengaluru
Allday Supermarket,supermarket,12.9193503,77.6158536,Bengaluru
Ever Fine Super Market,supermarket,12.8949631,77.6090105,Bengaluru
Pick N Save The Wholesale Market,supermarket,12.9228872,77.6174916,Bengaluru
Day To Day Super Market,supermarket,12.8964974,77.6109057,Bengaluru
Star Bazaar,supermarket,12.9367017,77.6104595,Bengaluru
Yemkay Supermarket,supermarket,12.9883892,77.5367931,Bengaluru
Reliance Fresh,supermarket,12.8985629,77.6267808,Bengaluru
Stop & Shop Supermarket,supermarket,12.9084163,77.6764616,Bengaluru
Food Palace Supermarket,supermarket,12.9138175,77.6491752,Bengaluru
Village Super Market,supermarket,12.9995759,77.6230526,Bengaluru
Devi's Shop,supermarket,13.0945389,77.5858712,Bengaluru
Ambika Provision Store,supermarket,12.9881358,77.4733815,Bengaluru
R R Provision Store,supermarket,12.9841382,77.5289161,Bengaluru
Multi Mart Super Market,supermarket,13.0902404,77.6024288,Bengaluru
Dazzle Super Market,supermarket,13.0990214,77.5768362,Bengaluru
Royal Mart,supermarket,12.985304,77.4798633,Bengaluru
Reliance Fresh,supermarket,12.9736279,77.5446202,Bengaluru
M K Retail,supermarket,12.9727428,77.5391705,Bengaluru
Reliance Fresh,supermarket,12.9070435,77.5458167,Bengaluru
More,supermarket,12.9716659,77.6556496,Bengaluru
Galaxy mart,supermarket,12.8698557,77.597124,Bengaluru
Galaxy mart,supermarket,12.8698577,77.5970827,Bengaluru
Grand Mini Bazaar,supermarket,12.9487521,77.7092076,Bengaluru
Annadata Farms Market,supermarket,12.9868385,77.6887546,Bengaluru
Day to Day,supermarket,12.9678261,77.6700421,Bengaluru
More,supermarket,12.8810319,77.5988542,Bengaluru
Poorna enterprises,supermarket,12.8983322,77.6079663,Bengaluru
Nice mart,supermarket,13.0552084,77.6008534,Bengaluru
Multiplex,supermarket,13.0085671,77.6420845,Bengaluru
Shop ink,supermarket,13.0319862,77.660617,Bengaluru
Happy shoppy,supermarket,13.0089466,77.6427801,Bengaluru
China bazaar,supermarket,13.0076445,77.6407572,Bengaluru
Mini bazaar,supermarket,12.9908387,77.6703063,Bengaluru
Patanjali Mega Store,supermarket,12.9642102,77.7143268,Bengaluru
Garden City Supermarket,supermarket,13.0667879,77.6385465,Bengaluru
RoyalMart,supermarket,12.9191661,77.5511655,Bengaluru
Reliance Fresh,supermarket,12.8996788,77.6753159,Bengaluru
